Full Name,Winnings
MAXIM KOGAN,800
HENDRIK KWIATKOWSKI,800
CHRISTAKI TSEKO,800
STEVO MARJANOVIC,800
JOHANNES SCHWEGER,800
CHRISTIAN DEL CARPIO GARRIDO,700
PHILIPP BAHNER,700
ARWIN ABBASPOUR,700
CARLOS ALMENDROS,700
HEIKO FIEHN,700
MORVARID HARTMANN,700
HAUKE KNUTZEN,700
MARCO DITTMANN,700
UWE LORENZEN,700
,700
STEFAN THEWES,700
JONATHAN WENDLANDT,700
IGOR KINTLER,700
TARIK HUSSEIN,700
HANS DIRK GITTERMANN,700
DANIEL SCHAEFER,700
PIERRE KAUERT,600
DOMINIC KRATTIGER,600
NIKLAS SCHMIDT,600
JULIAN VERONESE,600
ARMUT ÖRSAN,600
MAXIMILIAN WEBER,600
ADRIAN FARON,600
PAUL STEADMAN,600
HENDRIK REMER,600
STEFAN MAAK,600
HEINRICH SCHREINER,600
CHRISTINA BLANK,600
MARTIN WEDE,600
OGUZ DILGIN,600
IGOR POSNJAKOW,600
THOMAS BOHN,600
ONUR ALTUNEL,530
MANFRED KÖHLER,530
PATRICK FRETZERT,530
FLORIAN BALHORN,530
FLORIAN BACH,530
THORE BÖDEFELD,530
LARS SIMON,530
NEJAT GÜLER,530
MIROSLAV MALIC,530
PETRICK SIRAIT,530
TIM BETHKE,530
FALKO ERDMANN,530
MARTIN FELIX SCHNEIDERS,530
NIELS MICHAEL BERG,530
JURE JEPSEN,530
ISMAIL KALKAN,530
FRANK NEUMANN,530
KEVIN VOSS,530
MALTE ZIMMERMANN,530
FERRY VAFA,530
ANNE HANSEN,530
,32500
,20200
,14120
,11100
,8350
,6350
,5015
,3900
,3180
,2650
,2650
,2200
,2200
,1840
,1840
,1600
,1600
,1390
,1390
,1390
,1200
,1200
,1200
,1050
,1050
,1050
,1050
,920
,920
,920
,920
,800
,800
,800
,800
,800
,800
,800
,800
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,700
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,600
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
,530
01. Jul,330
02. Jul,330
03. Jul,330
03. Jul,1100
04. Jul,1100
05. Jul,1100
06. Jul,1100
06. Jul,2200
07. Jul,1100
07. Jul,2200
07. Jul,170
YasharK.,1420
,1040
AndreeE.,660
AdrianB.,500
IlianM.,390
HoumanN.,300
VOLKER PUTT,240
ArwinA.,100
MoritzG.,100
Patrick Lorenz,3954
Nadine Rohde,3954
Andreas Smirnow,3954
Witt,3953
Marc Backenecker,1730
Maximo Hartwig,1350
Andreas Klemm,1130
Matthias Gutenkunst,940
Dirk Benz,820
Dennis Stemmler,710
Alan Koops,710
Nicole,620
Laurence Zgonjamin,620
Yashar Kahvand,540
Scheldorf,540
Monir Marie,470
Alexander Keller,470
Stefan Wolfschütz,410
Stevo Marjanovic,410
Hans Woyrsch,410
Maximilian Schweppe,350
Daniel Rathje,350
Norbert Strominski,350
Thomas Pforte,310
Björn Brandes,310
Christian Stoboy,310
Lorenzen,310
Amir Peles,270
Niklas Baasch,270
Malte Ewers,270
Niklas Petermann,270
,45510
Felix Schneiders PokerStars Team Pro,43510
Floris,24930
Frederik Thiemer,19180
Vitalii Peiko,14750
Thorben Vellrath,11350
Modar Alsoud,9080
Kent Roed,7260
Yun Ho Choi,6050
Hendrikx,5040
Maik Jakobs,5040
Nicola Karl,4200
Jonas Klaus,4200
Phong Pham,3500
Friedrich,3500
Khossein Kokhestani,110070
Nicklas Dehli,68750
Stan Van Dijk,49110
Simone Demasi,37780
Sergej Schuhmacher,29060
Jonas Stechbarth,22350
Werner,17190
Timo Schmiedeke,13230
Rens Buijs,10610
Ercan Atmaca,8840
Timo Scarcella,8840
Wettern,7370
Dustin Barkholtz,7370
Dirk Sellhorn,6140
Sandor Ambrus,6140
Branko Samardzic,5340
Yves Thalman,5340
Andre Hegendorf,4640
Philipp Ruthard PokerStars Qualifier,4640
Halis Bozkurt,4640
Helge Pedersen,4040
Walter Beckmann,4040
Malte Von Ostrowski,4040
Robert Rohr,3510
Tommy Eriksson,3510
Baris Topuz,3510
Bloch,3510
Mehmet Aladag,3060
Lars Vogel,3060
Marcin Puczylowski,3060
Julian Paulsen,3060
Heiko Fiehn Silver Pass Winner,2660
Arman Zonobi,2660
Ermanno Di Nicola,2660
Yannick Bräuer PokerStars Qualifier,2660
Gregory Kehren,2660
Armin Seyfi,2660
Marcel Kruger,2660
Andrzej Powalka,2660
Nicola Karl,2310
Mengshi Tian,2310
Axel Junker,2310
Stefan Teckenburg,2310
Boris Progner PokerStars Qualifier,2310
Atush Esker,2310
Piotr Zapolski,2310
Dirk Hardt,2310
Martin Qvist,2310
Jonas Heuser,2310
Jonathan Christensen PokerStars Qualifier,2310
Jonas Degen PokerStars Qualifier,2310
Sven Stok,2310
Jonas Wendel,2310
Farukh Tach,2310
Bernd Reich,2310
Gato Lafrentz PokerStars Qualifier,2010
Hasan Kilinc,2010
Monir Marie,2010
Mike Schmidt Silver Pass Winner,2010
Ozgur Anar,2010
Yilmaz Tokmak,2010
Simon Keating PokerStars Qualifier,2010
Alfred Tellenbach,2010
Patrick Fretzert,2010
Robert Gill PokerStars Qualifier,2010
Mohammed Nuri,2010
Dario Sorrenti,2010
Marijus Dirgela,2010
Johannes Franz,2010
Hans Woyrsch,2010
Mats Ullereng,2010
Nadir Arslan,1750
Julien Mirainski,1750
Mick Wittig Silver Pass Winner,1750
Jonas Klaus,1750
Cheng Zhao,1750
Lach,1750
Florian Balhorn PokerStars Qualifier,1750
Dominick French,1750
Sven Reiter,1750
Dirk Stange,1750
Eric Fischer,1750
Patrick Lorenz,1750
Christian Reimer,1750
Eazy,1750
Tommy Nguyen,1750
Florian Bach,1750
,54120
,34900
,24930
,19180
,14750
,11350
,9080
,7260
,6050
,5040
,5040
,4200
,4200
,3500
,3500
,110070
,68750
,49110
,37780
,29060
,22350
,17190
,13230
,10610
,8840
,8840
,7370
,7370
,6140
,6140
,5340
,5340
,4640
,4640
Halis Bozkurt,4640
Helge Pedersen,4040
Walter Beckmann,4040
Malte Von Ostrowski,4040
Robert Rohr,3510
Tommy Eriksson,3510
Baris Topuz,3510
Bloch,3510
Mehmet Aladag,3060
Lars Vogel,3060
Marcin Pucylowski,3060
Julian Paulsen,3060
Heiko Fiehn Silver Pass Winner,2660
Arman Zanobi,2660
Ermanno Di Nicola,2660
Yannick Bräuer PokerStars Qualifier,2660
Gregory Kehren,2660
Armin Seyfi,2660
Marcel Krüger,2660
Andrzej Powalka,2660
Nicola Karl,2310
Mengshi Tian,2310
Axel Junker,2310
Stefan Teckenburg,2310
Boris Progner,2310
Atush Esker,2310
Piotr Zapolski,2310
Dirk Hardt,2310
Martin Qvist,2310
Jonas Heuser,2310
Jonathan Christensen PokerStars Qualifier,2310
Jonas Degen PokerStars Qualifier,2310
Sven Stok,2310
Jonas Wendel,2310
Faruk Tach,2310
Bernd Reich,2310
Gato Lafrentz PokerStars Qualifier,2010
Hasan Kilinc,2010
Monir Marie,2010
Mike Schmidt Silver Pass Winner,2010
Ozgur Anar,2010
Yilmaz Tokmak,2010
Simon Keating PokerStars Qualifier,2010
Alfred Tellenbach,2010
Patrick Fretzert,2010
Robert Gill PokerStars Qualifier,2010
Mohammed Nuri,2010
Dario Sorrenti,2010
Marijus Dirgela,2010
Johannes Franz,2010
Hans Woyrsch,2010
Mats Ullereng,2010
Nadir Arslan,1750
Julien Mirainski,1750
Mick Wittig Silver Pass Winner,1750
Jonas Klaus,1750
Cheng Zhao,1750
Lach,1750
Florian Balhorn PokerStars Qualifier,1750
Dominick French,1750
Sven Reiter,1750
Dirk Stange,1750
Eric Fischer,1750
Patrick Lorenz,1750
Christian Reimer,1750
Eazy,1750
Tommy Nguyen,1750
Florian Bach,1750
MARTIN SALIH,21710
JAN BLOCH,25200
GEORGII TVALIASHVILI,19910
JEROME GÜLS,11100
BORIS STREJC,8350
JAKOB SCHILK,6350
CALVIN ERDMANN,5015
WOUTER HORDIJK,3900
RIZKALLAH KOCHEICHE,3180
NEBOJSA MUSULIN,2650
YASHAR KAHVAND,2650
SIMON WAACK,2200
MARK THIES,2200
MATHIAS WAGEMEYER,1840
OSMAN KAYA,1840
RAMAZAN KIZILTAS,1600
NILS JASCHINSKI,1600
PEDRAM KHODAÜARAST,1390
CHRISTIAN DIERKS,1390
SEBASTIAN MIKKAT,1390
HELGE PEDERSEN,1200
KLAUS SUHR,1200
HERRY LIAN,1200
DENNIS STEMMLER,1050
FLORIAN ZÜHLKE,1050
MARCO FREESE,1050
ÖMER YOZGAT,1050
,920
ZECHARIAH MONTOYA,920
MICK WITTIG,920
JOACHIM HESELMEYER,920
YAIR GRABLY,800
RENE RITTER,800
THOMAS MERTEN,800
MAXIM KOGAN,800
HENDRIK KWIATKOWSKI,800
CHRISTAKI TSEKO,800
STEVO MARJANOVIC,800
JOHANNES SCHWEGER,800
CHRISTIAN DEL CARPIO GARRIDO,700
PHILIPP BAHNER,700
ARWIN ABBASPOUR,700
CARLOS ALMENDROS,700
HEIKO FIEHN,700
MORVARID HARTMANN,700
HAUKE KNUTZEN,700
MARCO DITTMANN,700
UWE LORENZEN,700
,700
STEFAN THEWES,700
JONATHAN WENDLANDT,700
IGOR KINTLER,700
TARIK HUSSEIN,700
HANS DIRK GITTERMANN,700
DANIEL SCHAEFER,700
PIERRE KAUERT,600
DOMINIC KRATTIGER,600
NIKLAS SCHMIDT,600
JULIAN VERONESE,600
ARMUT ÖRSAN,600
MAXIMILIAN WEBER,600
ADRIAN FARON,600
PAUL STEADMAN,600
HENDRIK REMER,600
STEFAN MAAK,600
HEINRICH SCHREINER,600
CHRISTINA BLANK,600
MARTIN WEDE,600
OGUZ DILGIN,600
IGOR POSNJAKOW,600
THOMAS BOHN,600
ONUR ALTUNEL,530
MANFRED KÖHLER,530
PATRICK FRETZERT,530
FLORIAN BALHORN,530
FLORIAN BACH,530
THORE BÖDEFELD,530
LARS SIMON,530
NEJAT GÜLER,530
MIROSLAV MALIC,530
PETRICK SIRAIT,530
TIM BETHKE,530
FALKO ERDMANN,530
MARTIN FELIX SCHNEIDERS,530
NIELS MICHAEL BERG,530
JURE JEPSEN,530
ISMAIL KALKAN,530
FRANK NEUMANN,530
KEVIN VOSS,530
MALTE ZIMMERMANN,530
FERRY VAFA,530
